Timestamp, Line Number, Prediction
2025-03-06 17:21:28,1,Intrusion Detected!
2025-03-06 17:21:28,2,Normal Traffic
2025-03-06 17:21:28,3,Normal Traffic
2025-03-06 17:21:28,4,Intrusion Detected!
2025-03-06 17:21:28,5,Normal Traffic
2025-03-06 17:21:28,6,Normal Traffic
2025-03-06 17:21:28,7,Normal Traffic
2025-03-06 17:21:28,8,Intrusion Detected!
2025-03-06 17:21:28,9,Normal Traffic
2025-03-06 17:21:28,10,Normal Traffic
2025-03-06 17:21:28,11,Normal Traffic
2025-03-06 17:21:28,12,Normal Traffic
2025-03-06 17:21:28,13,Normal Traffic
2025-03-06 17:21:28,14,Normal Traffic
2025-03-06 17:21:28,15,Normal Traffic
2025-03-06 17:21:28,16,Normal Traffic
2025-03-06 17:21:28,17,Intrusion Detected!
2025-03-06 17:21:28,18,Normal Traffic
2025-03-06 17:21:28,19,Normal Traffic
2025-03-06 17:21:28,20,Normal Traffic
2025-03-06 17:21:28,21,Normal Traffic
2025-03-06 17:21:28,22,Intrusion Detected!
2025-03-06 17:21:28,23,Intrusion Detected!
2025-03-06 17:21:28,24,Normal Traffic
2025-03-06 17:21:28,25,Intrusion Detected!
2025-03-06 17:21:28,26,Normal Traffic
2025-03-06 17:21:28,27,Intrusion Detected!
2025-03-06 17:21:28,28,Normal Traffic
2025-03-06 17:21:28,29,Intrusion Detected!
2025-03-06 17:21:28,30,Intrusion Detected!
2025-03-06 17:21:28,31,Intrusion Detected!
2025-03-06 17:21:28,32,Normal Traffic
2025-03-06 17:21:28,33,Normal Traffic
2025-03-06 17:21:28,34,Intrusion Detected!
2025-03-06 17:21:28,35,Normal Traffic
2025-03-06 17:21:28,36,Intrusion Detected!
2025-03-06 17:21:28,37,Normal Traffic
2025-03-06 17:21:28,38,Normal Traffic
2025-03-06 17:21:28,39,Normal Traffic
2025-03-06 17:21:28,40,Normal Traffic
2025-03-06 17:21:28,41,Intrusion Detected!
2025-03-06 17:21:28,42,Normal Traffic
2025-03-06 17:21:28,43,Intrusion Detected!
